LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
0.0253567043692|0.374854266644|1.92810082436,0.425776273012|0.358957082033|1.85137712955,-0.191337823868|0.312640994787|1.95762479305,0.648246586323|0.301940470934|1.83121538162,-0.160343810916|0.558822512627|1.86949765682,0.664248645306|0.548055708408|1.76609373093,-162.0,2,-167.0,2,66.0,2,81.0,2
0.0262763537467|0.375865757465|1.92868375778,0.43076145649|0.36302754283|1.85348212719,-0.191218018532|0.313147127628|1.95669996738,0.639380514622|0.37645766139|1.83548009396,-0.160468548536|0.559077382088|1.86878085136,0.652784705162|0.575753211975|1.79162466526,-162.0,2,172.0,1,66.0,2,98.0,2
0.0265651140362|0.376045167446|1.92876648903,0.43251490593|0.364734590054|1.85473406315,-0.191198408604|0.313223183155|1.95660769939,0.638678967953|0.377857416868|1.83565151691,-0.160397291183|0.559210777283|1.86859929562,0.64053183794|0.579662084579|1.80810236931,-162.0,2,173.0,2,66.0,2,95.0,2
0.0270292591304|0.376262426376|1.9295924902,0.434895634651|0.366963475943|1.85776782036,-0.192155912519|0.313085317612|1.9551384449,0.634883582592|0.391285389662|1.84046292305,-0.160097122192|0.559621036053|1.86750757694,0.616625368595|0.604105234146|1.82810425758,-162.0,2,170.0,2,66.0,2,92.0,2
0.0271720793098|0.375670015812|1.92807102203,0.435115665197|0.367275804281|1.85789763927,-0.192113012075|0.312056034803|1.95185387135,0.634266257286|0.396407216787|1.84096980095,-0.159887090325|0.559134364128|1.86600112915,0.605581104755|0.605740845203|1.83025240898,-162.0,2,169.0,2,66.0,2,91.0,2
0.0269640255719|0.374317824841|1.92556500435,0.435648798943|0.367398560047|1.85954737663,-0.192987889051|0.311724156141|1.95193815231,0.634620964527|0.397594571114|1.84249043465,-0.159963220358|0.558973252773|1.86577999592,0.598935127258|0.604799628258|1.83227324486,-163.0,2,170.0,2,66.0,2,89.0,2
0.0266846343875|0.374194055796|1.92605578899,0.435987830162|0.367554038763|1.8607738018,-0.193434730172|0.311386913061|1.95165777206,0.635050535202|0.397227466106|1.84338510036,-0.160172387958|0.558793962002|1.86494660378,0.594642817974|0.603090882301|1.83245325089,-163.0,2,170.0,2,66.0,2,88.0,2
0.026309043169|0.374148875475|1.92678058147,0.436226844788|0.367589890957|1.86181569099,-0.194878488779|0.311250776052|1.95093488693,0.635356247425|0.396865963936|1.8442479372,-0.160689249635|0.558702230453|1.86387932301,0.590649962425|0.602901399136|1.83149552345,-163.0,2,170.0,2,66.0,2,86.0,2
0.0258915051818|0.372843772173|1.9239692688,0.435890614986|0.367289155722|1.86240518093,-0.195220395923|0.311215043068|1.95050394535,0.635125815868|0.395904451609|1.84518933296,-0.160835728049|0.558773338795|1.86322033405,0.587419629097|0.601468086243|1.83108329773,-164.0,2,170.0,2,66.0,2,85.0,2
0.0255720559508|0.371835440397|1.92153191566,0.435890823603|0.367114722729|1.86301517487,-0.196464553475|0.311247140169|1.9490903616,0.635207653046|0.395222306252|1.84579598904,-0.160918682814|0.558713018894|1.86213302612,0.584726929665|0.601225614548|1.83070766926,-164.0,2,171.0,2,66.0,2,85.0,2
0.0248913876712|0.371549427509|1.92174994946,0.435546070337|0.366824746132|1.86343061924,-0.196848481894|0.311008363962|1.94800829887,0.634993731976|0.394121915102|1.84621417522,-0.161120012403|0.558022141457|1.86018967628,0.583093583584|0.600855529308|1.82995569706,-164.0,2,171.0,2,66.0,2,84.0,2
0.0242677927017|0.372039556503|1.92357182503,0.435071527958|0.366702258587|1.86387658119,-0.197204500437|0.310675323009|1.94725728035,0.634608924389|0.393486529589|1.84632563591,-0.161456495523|0.557612895966|1.85784327984,0.581994593143|0.599872291088|1.82878398895,-164.0,2,171.0,2,66.0,2,84.0,2
0.0239194706082|0.372284352779|1.9242079258,0.435079365969|0.366765350103|1.86396300793,-0.197228610516|0.310620307922|1.94719362259,0.634654223919|0.393300503492|1.84641122818,-0.161685019732|0.55722540617|1.85668802261,0.581698298454|0.599318385124|1.82830369473,-164.0,2,171.0,2,66.0,2,84.0,2
0.0224761292338|0.372023016214|1.92536437511,0.434607625008|0.366609662771|1.86436331272,-0.198650747538|0.309831768274|1.94667243958,0.634253740311|0.392748713493|1.84638011456,-0.162569954991|0.55686300993|1.85471320152,0.581082880497|0.598459303379|1.82665336132,-163.0,2,171.0,2,66.0,2,83.0,2
0.0212507285178|0.371619135141|1.92615318298,0.434687376022|0.366902351379|1.86470150948,-0.199915587902|0.309457242489|1.94685590267,0.634424328804|0.392446726561|1.84636127949,-0.163795039058|0.556597173214|1.85314798355,0.580714762211|0.598671495914|1.82546031475,-163.0,2,171.0,2,66.0,2,83.0,2
0.0200798604637|0.371536552906|1.92682683468,0.434596061707|0.367273062468|1.8648853302,-0.20131097734|0.309235930443|1.94656813145,0.6344217062|0.392252832651|1.84588289261,-0.164865478873|0.556276142597|1.85116708279,0.580488741398|0.598832607269|1.82419836521,-163.0,2,172.0,2,66.0,2,83.0,2
0.0192460641265|0.37135386467|1.92708981037,0.434374064207|0.36757928133|1.8650444746,-0.201839089394|0.309143036604|1.94606125355,0.63427823782|0.392032951117|1.84576117992,-0.16560280323|0.556373357773|1.84965121746,0.58026266098|0.597946226597|1.82331895828,-163.0,2,172.0,2,66.0,2,83.0,2
0.0179359577596|0.371470689774|1.92756211758,0.434169828892|0.36780962348|1.86517012119,-0.203029319644|0.309263646603|1.94514358044,0.634125828743|0.391915202141|1.84567248821,-0.1662722826|0.55643260479|1.84858751297,0.579830288887|0.597240626812|1.82244360447,-163.0,2,172.0,2,66.0,2,83.0,2
0.0166731569916|0.371290266514|1.92782628536,0.432321250439|0.367500662804|1.86516928673,-0.20386941731|0.309268832207|1.94415187836,0.632376551628|0.391029417515|1.84567344189,-0.166880384088|0.556571722031|1.84768569469,0.57944881916|0.596989870071|1.82147455215,-163.0,2,172.0,2,66.0,2,83.0,2
0.0155030451715|0.371395856142|1.92804896832,0.430986136198|0.367478638887|1.86529707909,-0.204575687647|0.309450179338|1.94288170338,0.631117522717|0.390563994646|1.84541940689,-0.16749599576|0.556498706341|1.84692871571,0.579193115234|0.597193717957|1.82040095329,-163.0,2,172.0,2,66.0,2,83.0,2
0.0147301638499|0.371503353119|1.928134799,0.431004375219|0.367539077997|1.86533343792,-0.204730436206|0.309333443642|1.94270181656,0.631156563759|0.390475660563|1.84506034851,-0.168063774705|0.556457340717|1.84639978409,0.579039216042|0.597214698792|1.82015013695,-163.0,2,172.0,2,66.0,2,83.0,2
0.0132410628721|0.371963262558|1.92863309383,0.429068207741|0.366976588964|1.86572182178,-0.205108270049|0.309218645096|1.94255459309,0.62922924757|0.390019029379|1.8450050354,-0.16866850853|0.556485891342|1.84582650661,0.578593850136|0.597085773945|1.81949341297,-163.0,2,172.0,2,66.0,2,84.0,2
0.00756787043065|0.3734985888|1.92837417126,0.419477343559|0.366176217794|1.86387491226,-0.213118284941|0.309624671936|1.94206881523,0.620257019997|0.384887605906|1.84086370468,-0.174361541867|0.556859612465|1.84348773956,0.572861194611|0.593456447124|1.81317138672,-162.0,2,173.0,2,65.0,2,83.0,2
0.00689131440595|0.374527156353|1.92876911163,0.41863873601|0.365952074528|1.86353492737,-0.21364068985|0.310010969639|1.94199943542,0.619422376156|0.384695678949|1.84038007259,-0.17496791482|0.556903898716|1.84342169762,0.571839809418|0.59392875433|1.81268084049,-162.0,2,173.0,2,65.0,2,83.0,2
0.00657782377675|0.374838322401|1.92876219749,0.417824178934|0.365919858217|1.86321103573,-0.213641524315|0.310146182775|1.94192075729,0.618674635887|0.384106576443|1.83982539177,-0.17544478178|0.557019591331|1.8433047533,0.571456074715|0.589365959167|1.81182301044,-162.0,2,173.0,2,65.0,2,83.0,2
0.00631216401234|0.37518119812|1.92881762981,0.417381584644|0.365774512291|1.86296331882,-0.214164584875|0.310479551554|1.94242227077,0.618217766285|0.384132355452|1.83953750134,-0.175835371017|0.556958794594|1.84322500229,0.570841252804|0.589227795601|1.8114964962,-162.0,2,173.0,2,65.0,2,83.0,2
0.00608249055222|0.375552296638|1.92892611027,0.417130053043|0.365742504597|1.86290466785,-0.214498192072|0.310965955257|1.94197273254,0.617985665798|0.383942812681|1.83944177628,-0.176228672266|0.557658493519|1.84295403957,0.569534659386|0.591029882431|1.81117331982,-161.0,2,173.0,2,65.0,2,83.0,2
