LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
-0.022170515731|0.243227794766|0.926075875759,0.300272554159|0.423765718937|0.858776628971,-0.135412558913|0.270404726267|0.737399637699,0.433012753725|0.312184125185|0.724256277084,-0.207778483629|0.173854991794|0.558247864246,0.155786529183|0.373188346624|0.677788436413,103.0,1,-113.0,2,-145.0,0,-54.0,0
-0.0209408160299|0.242341160774|0.922954857349,0.299708783627|0.421886771917|0.858891606331,-0.125358730555|0.270028173923|0.729214549065,0.428025752306|0.341842204332|0.69914662838,-0.197723537683|0.161669552326|0.556871831417,0.147156462073|0.391270518303|0.66154229641,101.0,1,-117.0,2,-142.0,0,-58.0,0
-0.00199037510902|0.209548413754|0.90886682272,0.314580380917|0.379048109055|0.844115614891,-0.152983784676|0.177283212543|0.749811887741,0.353295773268|0.303428441286|0.639218688011,-0.1957911551|0.0646564289927|0.570511639118,0.405265778303|0.209740996361|0.383925497532,122.0,1,-99.0,1,-144.0,1,179.0,1
-0.0048334733583|0.218424275517|0.912521481514,0.31174492836|0.38734421134|0.847446858883,-0.149638935924|0.174122929573|0.750531256199,0.345288425684|0.305609554052|0.644015491009,-0.198065802455|0.0609175413847|0.572983443737,0.138340592384|0.31089553237|0.583425581455,122.0,1,-97.0,1,-148.0,1,-96.0,1
0.00324865430593|0.210682362318|0.909809350967,0.319831132889|0.379595190287|0.844473183155,-0.148616105318|0.175373733044|0.752247869968,0.310196518898|0.308516800404|0.634738206863,-0.194291695952|0.197688832879|0.542280435562,0.0985163524747|0.315824210644|0.59681892395,123.0,1,-89.0,1,145.0,1,-101.0,1
-0.0110780792311|0.189016103745|0.898451924324,0.30596986413|0.358297497034|0.833281934261,-0.11298751086|0.315599024296|0.750160813332,0.426566362381|0.327662676573|0.651463329792,-0.196325778961|0.201415240765|0.560858130455,0.171663329005|0.343832671642|0.61733019352,91.0,2,-124.0,1,-115.0,0,-64.0,0
0.0620005130768|0.207835927606|0.908113896847,0.377964198589|0.376355707645|0.841786623001,-0.0965517535806|0.288073241711|0.778601586819,0.406432807446|0.320865631104|0.629025161266,-0.197465077043|0.207577869296|0.563270330429,0.192107856274|0.348615676165|0.624937772751,110.0,2,-100.0,1,-133.0,0,-82.0,0
-0.0339355394244|0.25398042798|0.878085494041,0.299564898014|0.389018326998|0.805600762367,-0.0271405857056|0.35935485363|0.683118402958,0.465445548296|0.346009403467|0.672287464142,-0.197133794427|0.210901588202|0.565862834454,0.210949063301|0.363382577896|0.628532111645,68.0,1,-138.0,2,-96.0,0,-49.0,0
-0.0397335290909|0.279537171125|0.85960149765,0.29702013731|0.385913312435|0.801723480225,-0.0228646397591|0.36820718646|0.656788408756,0.475138366222|0.36906799674|0.682637989521,-0.19829249382|0.214233368635|0.566207051277,0.21776920557|0.375931918621|0.631921410561,70.0,1,-148.0,1,-92.0,0,-45.0,0
-0.0505948029459|0.300589412451|0.840789616108,0.287312626839|0.371880233288|0.785579681396,-0.0118817547336|0.368121504784|0.632661938667,0.474443554878|0.387832045555|0.687539517879,-0.199141710997|0.215449512005|0.565758287907,0.215859681368|0.382837057114|0.628082334995,68.0,1,-160.0,1,-86.0,1,41.0,1
-0.055985506624|0.302879214287|0.836650848389,0.28534758091|0.368247359991|0.780763983727,-0.00154804997146|0.35912412405|0.628629088402,0.469892829657|0.395364135504|0.680579006672,-0.200862497091|0.215439990163|0.56366622448,0.21128615737|0.386090546846|0.622146427631,64.0,1,-161.0,1,-84.0,1,41.0,1
-0.057857260108|0.303262710571|0.831821978092,0.285608828068|0.364597439766|0.777709782124,0.00164239294827|0.360484957695|0.62543541193,0.466957002878|0.399651437998|0.673982918262,-0.201925441623|0.21755258739|0.563802242279,0.206779658794|0.38682705164|0.618019044399,63.0,1,159.0,1,-82.0,1,42.0,1
-0.0577109381557|0.303602069616|0.829070687294,0.287642270327|0.360198140144|0.774778068066,0.00278940447606|0.361806601286|0.623236715794,0.466942548752|0.402304172516|0.670526742935,-0.20229049027|0.218359991908|0.564018368721,0.205627143383|0.38633197546|0.615601658821,63.0,1,159.0,1,-81.0,1,42.0,1
-0.0842814221978|0.28200262785|0.829961955547,0.289759218693|0.355227857828|0.770555317402,0.00185154867359|0.36979496479|0.645221590996,0.466654330492|0.40191885829|0.663998782635,-0.204591065645|0.181905314326|0.567052483559,0.205527439713|0.383986860514|0.610264658928,55.0,1,158.0,1,-72.0,1,43.0,1
-0.0940964221954|0.279162973166|0.829730033875,0.290285378695|0.345617294312|0.763087332249,-0.0132134547457|0.379900664091|0.649565398693,0.459239095449|0.381405055523|0.636225581169,-0.19896069169|0.172240540385|0.569387674332,0.207375854254|0.369512945414|0.586513698101,55.0,1,153.0,1,-70.0,0,48.0,0
-0.106954425573|0.269705474377|0.826887726784,0.291833043098|0.339229047298|0.758022725582,-0.0330566987395|0.385474979877|0.653246819973,0.458826035261|0.368595838547|0.625726997852,-0.211422532797|0.174754664302|0.564810335636,0.207368776202|0.359088093042|0.578098475933,57.0,1,152.0,1,-70.0,0,49.0,0
-0.10690215975|0.269669860601|0.826885819435,0.2922077775|0.340368807316|0.759270846844,-0.0252113658935|0.3826379776|0.654884576797,0.457041054964|0.358310580254|0.620842814445,-0.209206417203|0.176915258169|0.566259980202,0.207531496882|0.354185551405|0.576684296131,55.0,1,-149.0,1,-69.0,0,50.0,0
