LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
-0.251290440559|0.352398574352|1.79012334347,0.139440342784|0.336425155401|1.80204057693,-0.311146914959|0.0982410907745|1.76756489277,0.187750667334|0.0662213265896|1.80965304375,-0.318732649088|-0.112134620547|1.66931259632,0.226179301739|-0.13624304533|1.70213890076,-101.0,2,-103.0,2,-157.0,0,151.0,0
-0.251067638397|0.352411568165|1.79014098644,0.140839457512|0.336963653564|1.80204439163,-0.311177760363|0.0976975560188|1.76835787296,0.187618359923|0.0663666799664|1.8082857132,-0.319902449846|-0.112914301455|1.67118954659,0.225847497582|-0.13584472239|1.70048058033,-101.0,2,-102.0,2,-157.0,0,151.0,0
-0.250839650631|0.352461189032|1.79015684128,0.14201746881|0.337721735239|1.8021607399,-0.311331748962|0.0974645167589|1.76882445812,0.187646239996|0.0676340311766|1.80675387383,-0.320926874876|-0.113217748702|1.67228484154,0.224485889077|-0.134029015899|1.69753575325,-101.0,2,-102.0,2,-158.0,0,151.0,0
-0.250401228666|0.352800816298|1.79016602039,0.142910405993|0.338060230017|1.80224466324,-0.311466693878|0.0977894887328|1.76947140694,0.188304483891|0.0700052008033|1.8056255579,-0.321505367756|-0.113126210868|1.67392957211,0.224100336432|-0.132150828838|1.69730305672,-101.0,2,-102.0,2,-158.0,0,151.0,0
-0.249938383698|0.353069096804|1.79028213024,0.143761694431|0.338431864977|1.80246150494,-0.311153709888|0.0971855223179|1.77032732964,0.188511312008|0.0705495327711|1.80549681187,-0.322154194117|-0.113514080644|1.67474627495,0.225353196263|-0.130994781852|1.69660329819,-101.0,2,-102.0,2,-158.0,0,151.0,0
-0.249045938253|0.353426903486|1.79035258293,0.144500851631|0.338747531176|1.80248856544,-0.311082750559|0.0971997827291|1.77050125599,0.190259322524|0.0707238838077|1.80516016483,-0.322091132402|-0.113452844322|1.67509531975,0.227341622114|-0.130964279175|1.69691061974,-102.0,2,-102.0,2,-158.0,0,152.0,0
-0.248727574944|0.353624463081|1.79038441181,0.144876107574|0.338888406754|1.80248093605,-0.31090888381|0.0968742445111|1.77052617073,0.191899552941|0.0706152543426|1.80483484268,-0.322080343962|-0.113687336445|1.67503023148,0.22997058928|-0.130452036858|1.69579744339,-102.0,2,-102.0,2,-157.0,0,151.0,0
-0.247985944152|0.353748619556|1.79044520855,0.145682483912|0.339206933975|1.80256867409,-0.310011088848|0.0971363261342|1.77109587193,0.194018810987|0.0700018256903|1.80443334579,-0.321547210217|-0.113114908338|1.67505300045,0.230469331145|-0.131583720446|1.69598400593,-102.0,2,-102.0,2,-157.0,0,152.0,0
-0.247699543834|0.353798031807|1.79061794281,0.146419346333|0.339228391647|1.8025457859,-0.309563696384|0.0971744805574|1.77118289471,0.195115342736|0.0722895786166|1.80478191376,-0.32043966651|-0.112856969237|1.67470180988,0.230444341898|-0.130655154586|1.69891643524,-102.0,2,-102.0,2,-157.0,0,-152.0,0
-0.247349798679|0.353740870953|1.79075205326,0.147008627653|0.339416146278|1.80264568329,-0.307967096567|0.0977487340569|1.77226126194,0.1966560781|0.0717183575034|1.80597770214,-0.319789260626|-0.111747249961|1.67482364178,0.235301837325|-0.131545081735|1.70237028599,-101.0,2,-103.0,2,-157.0,0,153.0,0
-0.246750622988|0.353793859482|1.79099965096,0.147675693035|0.339518427849|1.8027381897,-0.306653320789|0.0978351905942|1.77285349369,0.198809921741|0.0748294815421|1.80580759048,-0.317841857672|-0.111182242632|1.67459213734,0.241581320763|-0.129884123802|1.70781886578,-101.0,2,-103.0,2,-157.0,0,154.0,0
-0.245905056596|0.353952020407|1.79109144211,0.147954970598|0.339609563351|1.80273985863,-0.30609229207|0.0980841740966|1.77290785313,0.19914484024|0.0764363780618|1.80700695515,-0.316667884588|-0.11085332185|1.67465722561,0.244982481003|-0.12836189568|1.71114456654,-101.0,2,-103.0,2,-157.0,0,154.0,0
-0.245192050934|0.354144632816|1.7911233902,0.148312136531|0.339702874422|1.80268859863,-0.305284321308|0.0982090309262|1.77317500114,0.1994458884|0.0753765553236|1.80631995201,-0.316284447908|-0.110513292253|1.67473876476,0.240590617061|-0.132200405002|1.70499038696,-101.0,2,-103.0,2,-157.0,0,154.0,0
-0.244372829795|0.354509979486|1.79109621048,0.148688703775|0.33973506093|1.80266952515,-0.305046379566|0.0990343093872|1.77335202694,0.200095236301|0.075876750052|1.80662596226,-0.316075176001|-0.109765663743|1.67537486553,0.241475939751|-0.134553447366|1.70525598526,-101.0,2,-103.0,2,-157.0,0,154.0,0
-0.243951424956|0.354628413916|1.79116511345,0.148894399405|0.339875042439|1.80260896683,-0.304910242558|0.0988922193646|1.77342665195,0.201556459069|0.0788371115923|1.80641496181,-0.315928131342|-0.109820358455|1.67553389072,0.241073295474|-0.135882645845|1.70307540894,-101.0,2,-104.0,2,-157.0,0,-154.0,0
-0.243810936809|0.354526281357|1.79116356373,0.149120166898|0.339925199747|1.80248248577,-0.304644018412|0.0987887457013|1.77352941036,0.203455284238|0.0759632885456|1.80493617058,-0.315668463707|-0.1097747311|1.67553603649,0.241270974278|-0.135042771697|1.70203351974,-101.0,2,-104.0,2,-156.0,0,-154.0,0
-0.243776619434|0.354546099901|1.79120290279,0.149244695902|0.339847564697|1.80245888233,-0.304507911205|0.0987579226494|1.77376437187,0.206517741084|0.080912746489|1.80374002457,-0.315619587898|-0.109751321375|1.67582643032,0.240411505103|-0.120317175984|1.69565343857,-101.0,2,-105.0,2,-156.0,0,-152.0,0
-0.243184581399|0.35474935174|1.79119753838,0.149701461196|0.339916437864|1.80240154266,-0.305726408958|0.100358769298|1.77429020405,0.235302522779|0.0777555406094|1.79459416866,-0.315523386002|-0.108274281025|1.67663681507,0.24451123178|-0.125211328268|1.68456017971,-102.0,2,-110.0,2,-156.0,0,-149.0,0
-0.243017673492|0.35473009944|1.79125285149,0.150213256478|0.340001285076|1.80235052109,-0.309291601181|0.104132443666|1.77422308922,0.243231832981|0.0974816009402|1.78681206703,-0.315428555012|-0.105153657496|1.67795741558,0.235876202583|-0.110333897173|1.68689334393,-103.0,2,-113.0,2,-156.0,0,-149.0,0
-0.242685765028|0.354938715696|1.79135382175,0.150768592954|0.339884221554|1.80230522156,-0.314476549625|0.10691896826|1.77158260345,0.247625976801|0.102594748139|1.78510653973,-0.316937565804|-0.103035345674|1.67737174034,0.247081965208|-0.100556522608|1.6754014492,-104.0,2,-114.0,2,-155.0,0,-148.0,0
-0.242332875729|0.355105578899|1.79161667824,0.151121005416|0.339718580246|1.80202996731,-0.315608501434|0.111096039414|1.76250755787,0.250578761101|0.0990734025836|1.768404603,-0.320730596781|-0.0958703532815|1.6615049839,0.244866847992|-0.0961796417832|1.64427578449,-105.0,2,-114.0,2,-156.0,0,-146.0,0
-0.241731777787|0.355183064938|1.7917265892,0.151269987226|0.339836210012|1.80175745487,-0.323494136333|0.123400934041|1.72513592243,0.250272274017|0.138330385089|1.73946154118,-0.324630349874|-0.073408395052|1.60337901115,0.251403480768|-0.0625789389014|1.60847103596,-107.0,2,-117.0,2,-156.0,2,-151.0,2
-0.240906789899|0.355201810598|1.79177260399,0.150677546859|0.340593218803|1.80117452145,-0.324314117432|0.157489836216|1.69531559944,0.248174980283|0.145739510655|1.71378064156,-0.322485387325|-0.0211886316538|1.53651857376,0.25511303544|-0.0237241871655|1.54401516914,-109.0,2,-116.0,2,-154.0,2,-149.0,2
-0.239927321672|0.35490834713|1.79183912277,0.149228706956|0.341607868671|1.80076861382,-0.329296290874|0.181878432631|1.65607023239,0.25837790966|0.170525848866|1.6789457798,-0.312034785748|0.0506349354982|1.4629124403,0.254122942686|0.0469893738627|1.47997963428,-111.0,2,-118.0,2,-148.0,1,-144.0,1
